,Question,Answer,,,,,
1,What is a non linear equation,"A Nonlinear equation can be defined as the equation having the maximum degree 2 or more than 2. 
A linear equation forms a straight line on the graph. A nonlinear equation forms a curve on the graph. 
The general form of linear equation is, $y = mx +c$ , where $x$ and $y$ are the variables, m is the slope of the line and c is a constant value.The general form of nonlinear equations is, $ax^2 + by^2 = c$, where $x$ and $y$ are the variables and $a$, $b$ and $c$ are the constant values.

Example of a linear equation: $3x + 2 = 54, x + 5 = 1$
Example of a non linear equation: $2x^2+ 3y^2 = 7, a^2 + 2ab + b^2 = 0$","**Q1:** What is a non linear equation
**A1:** A Nonlinear equation can be defined as the equation having the maximum degree 2 or more than 2. 
A linear equation forms a straight line on the graph. A nonlinear equation forms a curve on the graph. 
The general form of linear equation is, $y = mx +c$ , where $x$ and $y$ are the variables, m is the slope of the line and c is a constant value.The general form of nonlinear equations is, $ax^2 + by^2 = c$, where $x$ and $y$ are the variables and $a$, $b$ and $c$ are the constant values.

Example of a linear equation: $3x + 2 = 54, x + 5 = 1$
Example of a non linear equation: $2x^2+ 3y^2 = 7, a^2 + 2ab + b^2 = 0$

---","Example of a linear equation: $x + 2y = 54, 2x + 5y = 1$
Example of a non linear equation: $3x^2 = 7, 5b^2 = 25$","Example of a linear equation: $y = 8x - 9$
Example of a non linear equation: $y = x^2 - 7$","Example of a linear equation: $x - 2y = 2$
Example of a non linear equation: $6x^2 + 11x - 35 = 0$","Example of a linear equation: $2x − 3y + 4 = 0, y = 5x + 2$
Example of a non linear equation: $y=x^2+5x+4$"
2,What is a non linear system,A non-linear system is a system in which the change of the output is not linearly proportional to the change of the input.,"**Q2:** What is a non linear system
**A2:** A non-linear system is a system in which the change of the output is not linearly proportional to the change of the input.

---",,,,
3,What is a differential equation,"A differential equation is an equation that describes the relationship between one or more unknown functions/variables and their derivatives. The functions usually represent physical quantities, and the derivatives represent their rates of change. 

For example: $\frac{dy}{dx} = f(x)$

Here $“x”$ is an independent variable and $“y”$ is a dependent variable

For example: $\frac{dy}{dx} = 5x$","**Q3:** What is a differential equation
**A3:** A differential equation is an equation that describes the relationship between one or more unknown functions/variables and their derivatives. The functions usually represent physical quantities, and the derivatives represent their rates of change. 

For example: $\frac{dy}{dx} = f(x)$

Here $“x”$ is an independent variable and $“y”$ is a dependent variable

For example: $\frac{dy}{dx} = 5x$

---",For example: $\frac{dy}{dx} = 3x^4$,For example: $\frac{dy}{dx} = x^2+1$,For example: $\frac{dy}{dx} = x^5$,For example: $\frac{dy}{dx} = 6x^9$
4,What is a first order differential equation,"The order of the differential equation is the order of the highest order derivative present in the equation. Here some examples for different orders of the differential equation are given. Following are some examples:

* $\frac{dy}{dx} = 3x + 2$, The order of the equation is 1
* $\frac{d^2y}{dx^2} + 2 \frac{dy}{dx} + y = 0$, The order is 2
* $\frac{dy}{dx}+y = kt$, The order is 1","**Q4:** What is a first order differential equation
**A4:** The order of the differential equation is the order of the highest order derivative present in the equation. Here some examples for different orders of the differential equation are given. Following are some examples:

* $\frac{dy}{dx} = 3x + 2$, The order of the equation is 1
* $\frac{d^2y}{dx^2} + 2 \frac{dy}{dx} + y = 0$, The order is 2
* $\frac{dy}{dx}+y = kt$, The order is 1

---",For example: $\frac{dy}{dx} = 3x^4$,For example: $\frac{dy}{dx} = x^2+1$,For example: $\frac{dy}{dx} = x^5$,For example: $\frac{dy}{dx} = 6x^9$
5,What is a derivative,"**Derivatives** are defined as the varying rate of change of a function with respect to an independent variable. The derivative is used to measure the sensitivity of one variable (dependent variable) with respect to another variable (independent variable).

For example: $\frac{dy}{dx} = 5x$
Here $“x”$ is an independent variable and $“y”$ is a dependent variable.","**Q5:** What is a derivative
**A5:** **Derivatives** are defined as the varying rate of change of a function with respect to an independent variable. The derivative is used to measure the sensitivity of one variable (dependent variable) with respect to another variable (independent variable).

For example: $\frac{dy}{dx} = 5x$
Here $“x”$ is an independent variable and $“y”$ is a dependent variable.

---",,,,
6,What is a State of a system,A state of system is something that can describe nature of a system at a given point. ,"**Q6:** What is a State of a system
**A6:** A state of system is something that can describe nature of a system at a given point. 

---",,,,
7,What is a State Variable of a system,When a system is represented in mathematical equation then the variables describing the nature of system are called the State Variable of the system.,"**Q7:** What is a State Variable of a system
**A7:** When a system is represented in mathematical equation then the variables describing the nature of system are called the State Variable of the system.

---",,,,
8,What is a State Equation of a system,"When a system is represented in mathematical equation then that equation is called State Equation of the system.

$$
\dot x_1= f_1 (t,x_1,……,x_n,u_1,……,u_p )
$$

$$
\dot x_2= f_2 (t,x_1,……,x_n,u_1,……,u_p )
$$

$$
..
$$

$$
..
$$

$$
\dot x_n= f_n (t,x_1,……,x_n,u_1,……,u_p )
$$

Here $\dot x_1, \dot x_2,..\dot x_n$  denote the derivative of $x_1, x_2,.. x_n$ respectively with respect to time variable $t$ and $u_1, u_2,.. u_p$ etc are specified input variables. We call the variables $x_1, x_2,.. x_n$ the **state variables**.","**Q8:** What is a State Equation of a system
**A8:** When a system is represented in mathematical equation then that equation is called State Equation of the system.

$$
\dot x_1= f_1 (t,x_1,……,x_n,u_1,……,u_p )
$$

$$
\dot x_2= f_2 (t,x_1,……,x_n,u_1,……,u_p )
$$

$$
..
$$

$$
..
$$

$$
\dot x_n= f_n (t,x_1,……,x_n,u_1,……,u_p )
$$

Here $\dot x_1, \dot x_2,..\dot x_n$  denote the derivative of $x_1, x_2,.. x_n$ respectively with respect to time variable $t$ and $u_1, u_2,.. u_p$ etc are specified input variables. We call the variables $x_1, x_2,.. x_n$ the **state variables**.

---",,,,
9,What does a State Equation of a system consist of,"**State Variables** are used to to represent the memory the dynamical system has of its past or the desired variable of interest. We usually use vector notation to write these equations in a compact form.

$$
x=  \begin{bmatrix} x_1 \\ x_2 \\ \vdots \\ x_n\end{bmatrix} , u=  \begin{bmatrix} u_1 \\ u_2 \\ \vdots \\ u_p\end{bmatrix} , f(t,x,u)=  \begin{bmatrix} f_1(t,x,u) \\ f_2(t,x,u) \\ \vdots \\ f_n(t,x,u)\end{bmatrix} 
$$

We can rewrite the n first-order differential equations as one n-dimensional first-order vector differential equation

$$
\dot x = f(t,x,u)
$$

We call above equation as the **State Equation** of the system and refer to $x$ as the **state** and $u$ as the **input**.","**Q9:** What does a State Equation of a system consist of
**A9:** **State Variables** are used to to represent the memory the dynamical system has of its past or the desired variable of interest. We usually use vector notation to write these equations in a compact form.

$$
x=  \begin{bmatrix} x_1 \\ x_2 \\ \vdots \\ x_n\end{bmatrix} , u=  \begin{bmatrix} u_1 \\ u_2 \\ \vdots \\ u_p\end{bmatrix} , f(t,x,u)=  \begin{bmatrix} f_1(t,x,u) \\ f_2(t,x,u) \\ \vdots \\ f_n(t,x,u)\end{bmatrix} 
$$

We can rewrite the n first-order differential equations as one n-dimensional first-order vector differential equation

$$
\dot x = f(t,x,u)
$$

We call above equation as the **State Equation** of the system and refer to $x$ as the **state** and $u$ as the **input**.

---",,,,
10,When does an equilibrium occur in a system,When the rate of change of states of a system reaches zero then the system is said to be at an equilibrium,"**Q10:** When does an equilibrium occur in a system
**A10:** When the rate of change of states of a system reaches zero then the system is said to be at an equilibrium

---",,,,
